"Mean_A","Mean_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","p_GLK","sum_sims"
"068_Q1","068_Q2","M","M",215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,1e-10,NA,2.713508841
"068_Q1","1DH_Q1","C","C",192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,1.9e-09,NA,2.370921519
"068_Q1","1TN_Q1","C","C",233,0.56351062,0.50823506,10.38983948,8.96927449,0.63362069,0.04741379,4.69125e-05,NA,2.038783199
"068_Q1","202_Q1","M","C",51,0.2155973,0.5909551,1.56121935,5.12788256,0.72,0.06,0.0018628463,NA,1.823743356
"068_Q1","563_Q1","C","M",233,0.42989358,0.54157661,7.25228938,9.79151627,0.65517241,0.0387931,2.2783e-06,NA,2.175900647
"068_Q1","BECRAA","M","B",165,0.21661985,0.5909736,2.84155753,9.35308166,0.70731707,0.04878049,1.097e-07,NA,2.233598836
"068_Q1","BECRKO","M","B",142,0.83286202,0.65375092,17.86817318,10.22226112,0.73049645,0.04964539,4.4e-08,NA,2.406473482
"068_Q1","BECRWE","M","B",172,0.64899252,0.60157689,11.1550164,9.81904942,0.64912281,0.06432749,9.61659e-05,NA,2.232604642
"068_Q1","C4A_Q1","C","C",233,0.47672888,0.54773276,8.2604115,9.95013919,0.65948276,0.0387931,1.1838e-06,NA,2.202229439
"068_Q1","DMN1_Q3","C","M",216,0.37430652,0.65671964,5.91866835,12.73907531,0.66046512,0.07906977,2.5292e-06,NA,2.591092291
"068_Q1","ELT_Q1","M","M",144,0.80095974,0.76111487,15.99765194,13.98318096,0.74125874,0.05594406,7.9e-09,NA,2.900691706
"068_Q1","HOL_KBMB","C","H",233,0.47670438,0.59602282,8.25986215,11.28160565,0.65517241,0.03017241,2.2783e-06,NA,2.379355795
"068_Q1","HOL_LKBB","C","H",178,0.38812141,0.60034059,5.60283563,9.95870356,0.67231638,0.02824859,4.539e-06,NA,2.268527326
"068_Q1","HOL_LKSB","C","H",200,0.42274766,0.52051901,6.58053125,8.57803006,0.65326633,0.04522613,1.53103e-05,NA,2.031588346
"068_Q1","HOL_MBRU","C","H",100,0.61454194,0.68156732,7.75096718,9.22052924,0.72727273,0.04040404,6.1064e-06,NA,2.330892974
"068_Q1","HOL_MRBR","C","H",128,0.34176759,0.59430931,4.09830675,8.29495417,0.71653543,0.06299213,1.0584e-06,NA,2.140340157
"068_Q1","HOL_TMB12","C","H",79,0.60399064,0.72905702,6.69304692,9.34680647,0.71794872,0.03846154,0.0001182423,NA,2.381686387
"068_Q1","HOL_TMB21","M","H",69,0.43886034,0.64962304,4.0275041,6.99421043,0.73529412,0.04411765,0.0001042119,NA,2.084338203
"068_Q1","HOL_TRPB","M","H",50,0.42899449,0.51290066,3.32440804,4.13942382,0.71428571,0.02040816,0.0026997961,NA,1.641128752
"068_Q1","HOL_TRRB","C","H",56,0.56828345,0.72854807,5.12194277,7.81570022,0.8,0.03636364,8.5983e-06,NA,2.310118092
