"network";"ship";"type";"no_comp";"no_nodes";"no_edges";"clust_coef";"avg_degree";"max_radius"
"series";"all_series";1;115;1948;5161;0,347245521421647;5,29876796714579;26
"series";"DMN1";1;2;6;4;0;1,33333333333333;2
"series";"DMN4";1;2;5;3;0;1,2;2
"series";"POM3";1;1;2;1;NA;1;1
"series";"POM4";1;1;2;1;NA;1;1
"series";"WOS7";1;2;71;238;0,509896131464759;6,70422535211268;6
"series";"WS3";1;1;3;3;1;2;1
"series";"ZWS2";1;3;16;17;0,59047619047619;2,125;4
"series";"ZWS4";1;3;13;11;0,25;1,69230769230769;6
"series";"ZWS6";1;2;53;212;0,579085264845758;8;4
"series";"all_series";2;38;2434;10364;0,263271281354235;8,51602300739523;17
"series";"DMN1";2;3;8;7;0,833333333333333;1,75;2
"series";"DMN4";2;2;5;3;0;1,2;2
"series";"POM3";2;2;4;2;NA;1;1
"series";"POM4";2;1;3;2;0;1,33333333333333;2
"series";"WOS7";2;2;73;307;0,516373966050658;8,41095890410959;5
"series";"WS3";2;1;3;3;1;2;1
"series";"ZWS2";2;3;25;33;0,565914786967419;2,64;5
"series";"ZWS4";2;4;16;18;0,423333333333333;2,25;4
"series";"ZWS6";2;1;56;271;0,576439715439605;9,67857142857143;5
"series";"all_series";3;106;2020;6193;0,373414228656344;6,13168316831683;24
"series";"DMN1";3;2;6;4;0;1,33333333333333;2
"series";"DMN4";3;2;7;6;0;1,71428571428571;2
"series";"POM3";3;1;2;1;NA;1;1
"series";"POM4";3;1;2;1;NA;1;1
"series";"WOS7";3;2;72;300;0,512897005366161;8,33333333333333;6
"series";"WS3";3;1;3;3;1;2;1
"series";"ZWS2";3;3;17;19;0,621693121693122;2,23529411764706;4
"series";"ZWS4";3;3;13;11;0,25;1,69230769230769;6
"series";"ZWS6";3;2;53;262;0,679615776314395;9,88679245283019;4
"series";"all_series";4;39;2467;11352;0,286091384828357;9,20308066477503;17
"series";"DMN1";4;3;8;7;0,833333333333333;1,75;2
"series";"DMN4";4;2;7;6;0;1,71428571428571;2
"series";"POM3";4;2;4;2;NA;1;1
"series";"POM4";4;1;3;2;0;1,33333333333333;2
"series";"WOS7";4;2;74;365;0,530495107908272;9,86486486486486;5
"series";"WS3";4;1;3;3;1;2;1
"series";"ZWS2";4;3;26;35;0,579880952380952;2,69230769230769;5
"series";"ZWS4";4;4;16;18;0,423333333333333;2,25;4
"series";"ZWS6";4;1;56;313;0,653057202912865;11,1785714285714;5
"trees";"all_trees";1;108;1389;2698;0,259203708266483;3,88480921526278;28
"trees";"POM3";1;1;2;1;NA;1;1
"trees";"WOS7";1;2;43;106;0,425569605832764;4,93023255813953;6
"trees";"ZWS2";1;5;11;6;0;1,09090909090909;2
"trees";"ZWS4";1;3;10;8;0,5;1,6;3
"trees";"ZWS6";1;2;29;56;0,392307692307692;3,86206896551724;6
"trees";"all_ships";1;115;1948;5161;0,347245521421647;5,29876796714579;26
"trees";"all_trees";2;35;1894;6058;0,203618191932045;6,39704329461457;20
"trees";"DMN1";2;1;2;1;NA;1;1
"trees";"POM3";2;1;2;1;NA;1;1
"trees";"POM4";2;1;2;1;NA;1;1
"trees";"WOS7";2;2;47;141;0,477479464979465;6;5
"trees";"ZWS2";2;4;19;20;0,263333333333333;2,10526315789474;4
"trees";"ZWS4";2;4;14;15;0,652380952380952;2,14285714285714;4
"trees";"ZWS6";2;2;33;78;0,368379028379028;4,72727272727273;5
"trees";"all_ships";2;38;2434;10364;0,263271281354235;8,51602300739523;17
"trees";"all_trees";3;97;1464;3363;0,289453397519404;4,59426229508197;27
"trees";"DMN4";3;1;2;1;NA;1;1
"trees";"POM3";3;1;2;1;NA;1;1
"trees";"WOS7";3;2;47;148;0,483436086167179;6,29787234042553;6
"trees";"ZWS2";3;5;12;7;0;1,16666666666667;2
"trees";"ZWS4";3;3;10;8;0,5;1,6;3
"trees";"ZWS6";3;2;29;80;0,525412816641808;5,51724137931035;5
"trees";"all_ships";3;106;2020;6193;0,373414228656344;6,13168316831683;24
"trees";"all_trees";4;38;1929;6707;0,228726617262912;6,95386210471747;19
"trees";"DMN1";4;1;2;1;NA;1;1
"trees";"DMN4";4;1;2;1;NA;1;1
"trees";"POM3";4;1;2;1;NA;1;1
"trees";"POM4";4;1;2;1;NA;1;1
"trees";"WOS7";4;2;50;181;0,520596534154886;7,24;5
"trees";"ZWS2";4;4;20;21;0,239393939393939;2,1;4
"trees";"ZWS4";4;4;14;15;0,652380952380952;2,14285714285714;4
"trees";"ZWS6";4;2;33;101;0,464576168086605;6,12121212121212;4
"trees";"all_ships";4;39;2467;11352;0,286091384828357;9,20308066477503;17
"means";"all_means";1;7;135;226;0,267295250436698;3,34814814814815;14
"means";"all_means";2;10;157;302;0,292080464178678;3,84713375796178;12
"means";"all_means";3;5;163;447;0,457674661637972;5,48466257668712;12
"means";"all_means";4;6;178;523;0,431480884239588;5,87640449438202;11
