"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"065169","068034","A","0",106,0.56445191,0.60957174,7.00684367,7.84179897,0.73333333,0.08571429,1.7364e-06,2.127084967
"065169","068089","A","Q",93,0.19173636,0.51330247,1.87383689,5.70560371,0.70652174,0.04347826,7.4395e-05,1.790384581
"065169","1DH0032","A","A",64,0.54485249,0.65616848,5.15738582,6.84677583,0.71428571,0,0.0006697294,2.055131773
"065169","OSH0010","A","0",50,0.44954957,0.53352481,3.52289727,4.37034341,0.71428571,0,0.0026997961,1.684844861
"065169","VAL0025","A","1",56,0.39762171,0.56678782,3.21382306,5.05547493,0.70909091,0.01818182,0.0019266038,1.781426223
"068001","VAL0014","B","1",68,0.14811397,0.61251076,1.22588625,6.29512793,0.73134328,0.01492537,0.0001523221,1.973366833
"068002","068085","0","0",145,0.15424181,0.52120281,1.87331953,7.30306912,0.69444444,0.02083333,3.0613e-06,1.945954162
"068002","LANG102","B","T",53,0.31063252,0.53647425,2.35658292,4.5397757,0.71153846,0,0.0022819373,1.70199028
"068002","VAL0014","0","1",68,0.5407052,0.60684554,5.26129208,6.20270973,0.70149254,0,0.0009717692,1.928609053
"068002","VFH0054","B","Q",52,0.33570974,0.53228581,2.54515384,4.44600272,0.70588235,0,0.0032758975,1.682768432
"068002","WS30001","0","1",83,0.462786,0.56417469,4.72740798,6.14974709,0.73170732,0.03658537,2.71194e-05,1.910856719
"068002","WS30002","B","1",113,0.34339197,0.50839471,3.86940935,6.22009105,0.72321429,0.00892857,2.3062e-06,1.853618105
"068004","068006","C","B",199,0.88852072,0.5755423,27.24847507,9.87820701,0.6969697,0.03535354,2.97e-08,2.260332701
"068004","068009","B","B",117,0.59604086,0.56037859,7.99492336,7.25564542,0.68103448,0.04310345,9.63509e-05,1.966977612
"068004","195006","C","0",58,0.2392481,0.59193009,1.86030975,5.49585357,0.73684211,0.05263158,0.0003485752,1.878357557
"068004","195014","A","A",51,0.0205696,0.58171946,0.14547982,5.00625628,0.82,0,6.0258e-06,1.902345088
"068004","ALC0028","C","1",51,-0.19561937,0.53811839,-1.41048865,4.4690546,0.74,0,0.0006885139,1.72502385
"068004","BHO0003","A","2",62,-0.13975925,0.68556652,-1.1023739,7.2943716,0.73770492,0,0.0002047606,2.1527086
"068004","C4A1602","C","C",64,0.17214359,0.53803722,1.38705351,5.02598567,0.71428571,0.01587302,0.0006697294,1.754921497
"068004","ELT2003","A","1",103,0.04995498,0.52479617,0.50515126,6.19591541,0.73529412,0,2.0071e-06,1.879681831
"068004","IJS0003","C","0",51,-0.10931993,0.58382871,-0.77766954,5.03376953,0.78,0,7.50132e-05,1.867205663
"068004","OSN0003","C","1",62,-0.02718906,0.5250856,-0.21243189,4.77915317,0.73770492,0,0.0002047606,1.740705837
"068004","VFH0054","A","Q",90,0.23683787,0.5584783,2.29975382,6.31569614,0.75280899,0,1.8423e-06,1.942856904
"068005","068007","E","0",159,0.8628886,0.66311407,21.46115336,11.100323,0.6835443,0.05696203,3.9455e-06,2.45669067
"068005","068065","B","0",78,0.59650519,0.5360406,6.52161933,5.53558017,0.74025974,0.02597403,2.48078e-05,1.829858357
"068005","HBW2002","C","Q",57,0.03119964,0.51803072,0.23359044,4.49145341,0.71428571,0.01785714,0.0013406411,1.681461771
"068005","NOVY131","A","T",70,0.44972575,0.5121053,4.18253692,4.91654087,0.73913043,0.02898551,7.10526e-05,1.742889817
"068005","VAL0014","D","1",68,0.29660724,0.6161093,2.54223668,6.35463444,0.74626866,0,5.54004e-05,1.997841404
"068006","068004","B","C",199,0.88852072,0.5755423,27.24847507,9.87820701,0.6969697,0.03535354,2.97e-08,2.260332701
"068007","068005","0","E",159,0.8628886,0.66311407,21.46115336,11.100323,0.6835443,0.05696203,3.9455e-06,2.45669067
"068008","068026","B","0",74,0.06679814,0.59213241,0.57200112,6.23499191,0.7260274,0.09589041,0.0001122979,1.941659001
"068008","068062","0","0",142,0.95561559,0.80783176,38.51552325,16.21679866,0.82978723,0.0141844,0,3.259298856
"068008","068074","0","B",102,-0.18590641,0.51580162,-1.90148396,6.02073965,0.76237624,0,1.337e-07,1.880251825
"068008","068087","B","Q",77,0.51367245,0.62445902,5.219305,6.9239118,0.76315789,0.01315789,4.4684e-06,2.08000809
"068009","068004","B","B",117,0.59604086,0.56037859,7.99492336,7.25564542,0.68103448,0.04310345,9.63509e-05,1.966977612
"068009","068089","0","A",120,0.47992369,0.51425514,5.96750063,6.51352383,0.68067227,0.02521008,8.08712e-05,1.846279793
"068009","BAR0011","A","1",53,0.34943481,0.5114574,2.68934471,4.25055249,0.76923077,0,0.0001032174,1.705743419
"068009","ELT2003","B","1",67,0.68316985,0.5797615,7.6001722,5.73670304,0.72727273,0.01515152,0.0002218467,1.880704534
"068009","ELT2004","B","0",52,0.56511073,0.53524076,4.8916656,4.48055611,0.74509804,0.01960784,0.0004640375,1.728394411
"068009","VFH0024","B","0",106,0.47081071,0.66975262,5.46835968,9.19782906,0.7047619,0.01904762,2.71227e-05,2.294297426
"068009","VFH0035","B","0",55,0.71079167,0.50685089,7.42566322,4.28049391,0.72222222,0.03703704,0.0010908352,1.657122501
"068013","VAL0014","A","1",68,0.45565098,0.51790618,4.18988752,4.9185242,0.71641791,0.05970149,0.0003957319,1.72617651
"068015","068025","B","0",65,0.50275185,0.58314061,4.65278988,5.69756147,0.703125,0.046875,0.0011540501,1.856021757
"068015","068085","C","0",59,0.62157858,0.59476921,6.04300817,5.58580488,0.81034483,0,2.2783e-06,1.963694528
"068015","068094","B","0",65,0.42392037,0.52470294,3.74446828,4.89224939,0.765625,0.015625,2.13771e-05,1.779552879
"068015","068096","B","A",62,0.54395828,0.51455289,5.06302928,4.64828191,0.7704918,0,2.38711e-05,1.749872881
"068015","1TN0121","C","A",61,0.39229333,0.50932377,3.30349902,4.54601884,0.7,0,0.0019457737,1.663925654
"068015","C4A1601","C","Z",58,0.50423678,0.53164951,4.40835635,4.69736428,0.71929825,0,0.0009285334,1.720684188
"068015","HORB320","B","T",65,0.28755676,0.56584556,2.40190178,5.4471784,0.703125,0,0.0011540501,1.8136884
"068015","HORB322","B","T",54,0.59486639,0.56761426,5.38760914,4.97164015,0.73584906,0,0.0005947133,1.800627335
"068018","068033","0","Q",52,0.61392584,0.52370602,5.55422982,4.3469479,0.7254902,0.01960784,0.0012790283,1.68389101
"068022","068026","A","B",64,0.36282368,0.69319177,3.09041102,7.57290768,0.74603175,0.04761905,9.39791e-05,2.196514288
"068022","068035","C","B",66,0.43477077,0.6668449,3.892364,7.15886201,0.81538462,0.03076923,3.668e-07,2.198115721
"068022","068045","C","0",67,0.31855686,0.59059786,2.7302014,5.90056092,0.72727273,0.01515152,0.0002218467,1.907926682
"068022","068050","0","B",91,0.15953119,0.60902709,1.5330801,7.24396927,0.7,0.01111111,0.0001478023,2.033424017
"068022","068061","0","B",102,0.16237461,0.54249383,1.65379181,6.45780025,0.7029703,0.00990099,4.51031e-05,1.891244155
"068022","068067","C","B",82,0.2929748,0.56901711,2.75778436,6.18908522,0.74074074,0.03703704,1.46868e-05,1.928666372
"068022","068072","0","A",107,0.47289707,0.60751818,5.52567893,7.8372953,0.74528302,0.00943396,4.402e-07,2.13653073
"068022","068074","0","0",102,0.10833417,0.51976165,1.09519064,6.08398412,0.73267327,0,2.9156e-06,1.860833332
"068022","068078","C","C",75,0.59037186,0.67524203,6.292124,7.82171899,0.71621622,0.02702703,0.0001992824,2.173630149
"068022","068086","C","A",100,0.23498303,0.59372029,2.40540418,7.30426156,0.70707071,0.03030303,3.77797e-05,2.031217156
"068022","068087","0","D",100,0.55626047,0.53036345,6.66025092,6.19310419,0.73737374,0.01010101,2.3162e-06,1.887047609
"068022","068099","0","C",122,0.13438846,0.53884985,1.4918056,7.00711248,0.70247934,0.01652893,8.4071e-06,1.942040438
"068022","068100","C","B",85,0.10314707,0.59487388,0.95042802,6.74226249,0.70238095,0.02380952,0.0002075016,1.971481079
"068022","068115","0","A",126,0.48107879,0.55032636,6.13523818,7.33957441,0.712,0.016,2.1323e-06,1.996283801
"068022","068124","A","B",81,0.31907131,0.51435318,3.01125676,5.3309071,0.7125,0.0125,0.0001439299,1.75994389
"068022","068130","C","C",54,0.43136134,0.64652104,3.48085813,6.11109329,0.73584906,0.03773585,0.0005947133,1.993479429
"068022","068144","C","B",55,0.39272044,0.65015049,3.13800819,6.22944593,0.7037037,0,0.0027550771,1.976798783
"068022","6001004","C","L",58,0.3502548,0.59006109,2.82320309,5.46920887,0.71929825,0.01754386,0.0009285334,1.856280227
"068022","BHC0059","C","1",95,0.09926135,0.50512865,0.96715087,5.64430544,0.72340426,0.03191489,1.47782e-05,1.792963454
"068022","ELT0003","C","2",71,0.06821041,0.66544298,0.57202153,7.40517683,0.78571429,0.04285714,1.745e-06,2.191674953
