"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"065169","068034","A","0",106,0.56445191,0.60957174,7.00684367,7.84179897,0.73333333,0.08571429,1.7364e-06,2.127084967
"065169","068089","A","Q",93,0.19173636,0.51330247,1.87383689,5.70560371,0.70652174,0.04347826,7.4395e-05,1.790384581
"065169","1DH0032","A","A",64,0.54485249,0.65616848,5.15738582,6.84677583,0.71428571,0,0.0006697294,2.055131773
"065169","OSH0010","A","0",50,0.44954957,0.53352481,3.52289727,4.37034341,0.71428571,0,0.0026997961,1.684844861
"065169","VAL0025","A","1",56,0.39762171,0.56678782,3.21382306,5.05547493,0.70909091,0.01818182,0.0019266038,1.781426223
"068_QT01","068_QT02","R","R",114,0.75510837,0.57598248,12.24361229,7.45676898,0.72566372,0.00884956,1.6052e-06,2.047323098
"068_QT01","068_QT06","R","R",111,0.90926695,0.83241065,22.91245696,15.68253492,0.85454545,0.01818182,0,3.255209592
"068_QT01","068022","R","0",114,0.1609768,0.5324392,1.73381902,6.65684375,0.71681416,0.00884956,4.0358e-06,1.914937735
"068_QT01","068032","R","B",76,0.7891562,0.8671719,11.1272811,14.97903815,0.82666667,0.01333333,1.53e-08,3.191742385
"068_QT01","068072","R","0",94,0.41086702,0.58486459,4.34603327,6.91605242,0.70967742,0.03225806,5.25219e-05,1.986147252
"068_QT01","068075","R","0",85,0.8780981,0.72567847,16.81970217,9.60889397,0.73809524,0.03571429,1.27497e-05,2.424663107
"068_QT01","068082","R","0",102,0.91093334,0.79218547,22.19049251,12.98067986,0.85148515,0.01980198,0,2.941738606
"068_QT01","068115","R","A",85,0.33769774,0.61891393,3.28821861,7.17870128,0.77380952,0.02380952,5.194e-07,2.110593578
"068_QT01","068117","R","B",52,0.50508854,0.5372544,4.17934115,4.50423413,0.70588235,0,0.0032758975,1.693560163
"068_QT01","068117","R","Q",52,0.50508854,0.5372544,4.17934115,4.50423413,0.70588235,0,0.0032758975,1.693560163
"068_QT01","068120","R","A",98,0.44628665,0.55297667,4.91168011,6.50271719,0.72164948,0.01030928,1.26549e-05,1.924897869
"068_QT01","ELT0003","R","1",99,0.71948951,0.64662131,10.25564989,8.34869965,0.73469388,0.01020408,3.3728e-06,2.216185155
"068_QT02","068_QT01","R","R",114,0.75510837,0.57598248,12.24361229,7.45676898,0.72566372,0.00884956,1.6052e-06,2.047323098
"068_QT02","068022","R","C",133,0.08341556,0.58782843,0.96172352,8.31659261,0.68939394,0.03787879,1.34937e-05,2.108881631
"068_QT02","068024","R","0",125,0.73897663,0.72437993,12.21391724,11.65325013,0.70967742,0.03225806,3.0158e-06,2.599382363
"068_QT02","068026","R","B",64,0.58527607,0.59726277,5.72926678,5.86357139,0.79365079,0.03174603,3.1382e-06,1.977270699
"068_QT02","068029","R","A",97,0.76045525,0.7942676,11.47369897,12.74188532,0.77083333,0.03125,1.113e-07,2.839289462
"068_QT02","068072","R","A",107,0.48619117,0.77141545,5.72824887,12.4222232,0.76415094,0.00943396,5.35e-08,2.77778871
"068_QT02","068081","R","E",121,0.87156184,0.69700315,19.47330663,10.60346582,0.75833333,0.01666667,1.52e-08,2.515683062
"068_QT02","068087","R","Q",77,0.77379139,0.82948196,10.64939308,12.86140306,0.77631579,0.01315789,1.452e-06,2.891938056
"068_QT02","068130","R","C",54,0.50824872,0.69928823,4.29640284,7.05422244,0.71698113,0,0.0015815242,2.121691604
"068_QT02","068138","R","0",159,-0.36817319,0.50657218,-4.97749853,7.36180599,0.69620253,0.02531646,8.12e-07,1.938955309
"068_QT02","068144","R","B",90,0.79486162,0.65426699,12.35798282,8.11564642,0.74157303,0,5.1645e-06,2.207404662
"068_QT02","ELT_QT1","R","R",126,0.81828198,0.64378988,15.9157966,9.36868649,0.68,0.016,5.69941e-05,2.260658529
"068_QT02","ELT0003","R","0",100,0.72362866,0.6765639,10.43193821,9.09531098,0.76767677,0,1e-07,2.353771768
"068_QT02","MEH0011","R","1",56,0.50293014,0.55395927,4.31529906,4.88953593,0.70909091,0,0.0019266038,1.752003773
"068_QT03","195006","R","0",58,0.30632132,0.62069314,2.42946406,5.92413864,0.71929825,0.07017544,0.0009285334,1.932405254
"068_QT03","IJS0003","R","0",51,-0.10323264,0.52784365,-0.733886,4.35031764,0.76,0.02,0.0002360344,1.722875414
"068_QT04","068085","R","0",138,0.22549617,0.55295801,2.70914146,7.73940529,0.67153285,0.01459854,5.93247e-05,1.998431389
"068_QT04","068096","R","B",138,0.52624244,0.57018965,7.24363089,8.09420666,0.75912409,0.01459854,1.3e-09,2.138734406
"068_QT04","VAL0014","R","1",63,0.38626361,0.57261938,3.29735561,5.45521331,0.72580645,0.01612903,0.000376539,1.843947161
"068_QT04","VFH_QT2","R","R",138,0.68425239,0.61014185,10.98254475,8.98079725,0.71532847,0.03649635,4.638e-07,2.223550045
"068_QT04","VFH0009","R","0",92,0.10931144,0.62473849,1.04905111,7.5903321,0.75824176,0.03296703,8.353e-07,2.14201346
"068_QT04","ZWB1004","R","1",54,0.40989845,0.51414344,3.27157529,4.32263363,0.73584906,0.03773585,0.0005947133,1.682255863
"068_QT05","068026","R","0",74,0.01826142,0.66894826,0.1560517,7.63641281,0.73972603,0.06849315,4.19552e-05,2.172315571
"068_QT05","068087","R","Q",77,0.5359207,0.60086408,5.53384297,6.50982377,0.73684211,0.01315789,3.6358e-05,1.988688567
"068_QT06","068_QT01","R","R",111,0.90926695,0.83241065,22.91245696,15.68253492,0.85454545,0.01818182,0,3.255209592
"068_QT06","068022","R","0",124,0.07010864,0.52047203,0.77946041,6.73257377,0.69918699,0.00813008,9.9535e-06,1.892916397
"068_QT06","068032","R","B",77,0.69504003,0.78089328,8.42762529,10.82618705,0.80263158,0,1.316e-07,2.666143565
"068_QT06","068072","R","A",97,0.47055772,0.6171604,5.22514284,7.64495407,0.70833333,0.02083333,4.45571e-05,2.089989137
"068_QT06","068075","R","0",85,0.8661502,0.71981864,15.88366407,9.44715835,0.71428571,0.04761905,8.5683e-05,2.378820185
"068_QT06","068082","R","0",99,0.88470628,0.8358276,18.7882999,14.99465776,0.80612245,0.03061224,1.4e-09,3.141415826
"068_QT06","068087","R","D",84,0.5561438,0.59784221,6.09649381,6.75349076,0.71084337,0.01204819,0.0001221607,1.984034656
"068_QT06","068115","R","Q",99,0.45661428,0.62171215,5.08084718,7.81766645,0.73469388,0.02040816,3.3728e-06,2.138172675
"068_QT06","068120","R","A",95,0.36396783,0.50411853,3.78865733,5.62916745,0.72340426,0.0212766,1.47782e-05,1.790439535
"068_QT06","ELT0003","R","1",100,0.73501351,0.67730793,10.78573209,9.11378221,0.73737374,0.01010101,2.3162e-06,2.326059891
"068_QT06","ELT2004","R","0",58,0.73246806,0.57399372,8.12279854,5.24555755,0.71929825,0.03508772,0.0009285334,1.817847725
"068_QT06","MEH0011","R","1",56,0.41641849,0.53152817,3.39675946,4.61125279,0.72727273,0,0.0007489604,1.719926179
"068_QT07","068009","R","B",117,0.00664999,0.51200467,0.07162412,6.39202465,0.69827586,0.05172414,1.94605e-05,1.849482995
"068_QT07","068089","R","A",151,-0.20390645,0.60147596,-2.55092783,9.19017832,0.68666667,0.03333333,4.8221e-06,2.207160462
"068_QT07","068100","R","Q",94,0.49422674,0.74161161,5.48253654,10.60372066,0.78494624,0.03225806,3.89e-08,2.586929916
"068_QT07","068134","R","0",177,0.20567812,0.54055463,2.78824204,8.49969081,0.65909091,0.0625,2.4305e-05,2.049614621
"068_QT07","ELT_QT1","R","R",127,-0.37868949,0.59407523,-4.59283604,8.25694258,0.67460317,0.05555556,8.86109e-05,2.094372658
"068_QT07","ELT0003","R","0",100,0.04709426,0.68009133,0.46910251,9.18334333,0.6969697,0.03030303,8.86786e-05,2.295395363
"068_QT07","ELT2002","R","1",105,-0.29143138,0.56225671,-3.10689344,6.9002895,0.69230769,0.05769231,8.76994e-05,1.94459335
"068_QT07","HORB325","R","T",58,0.34509264,0.51004285,2.77592095,4.43738383,0.70175439,0.01754386,0.0023158069,1.655535623
"068_QT07","ZWB1001","R","0",66,0.564523,0.72607407,5.5139742,8.44743049,0.73846154,0.01538462,0.0001205147,2.309278659
"068_QT08","068100","R","0",96,0.75630117,0.66151208,11.2675723,8.5522101,0.70526316,0.01052632,6.29913e-05,2.22199625
"068001","VAL0014","B","1",68,0.14811397,0.61251076,1.22588625,6.29512793,0.73134328,0.01492537,0.0001523221,1.973366833
"068002","068085","0","0",145,0.15424181,0.52120281,1.87331953,7.30306912,0.69444444,0.02083333,3.0613e-06,1.945954162
"068002","LANG102","B","T",53,0.31063252,0.53647425,2.35658292,4.5397757,0.71153846,0,0.0022819373,1.70199028
"068002","VAL0014","0","1",68,0.5407052,0.60684554,5.26129208,6.20270973,0.70149254,0,0.0009717692,1.928609053
